,author_id,statuses_count,location,verified,followers_count,friends_count,listed_count,favourites_count,tweet_id,text,created_at,lang,retweet_count,hashtags,favorite_count
0,1552675995081183233,271,México/CDMX,False,118,45,0,1336,1628907212088176644,"I said before i was kind of a weeb.
So here, take this.
#save101dalmatianstreet #101dalmatianstreet #101dalmatianstreetfanart #calledalmatas101 #disney #disneyplus #disneytva 
I tried my best to not screw up the title, sorry if there's something wrong https://t.co/unEwfhctfT",2023-02-23 23:58:37,en,28,"[{'text': 'save101dalmatianstreet', 'indices': [56, 79]}, {'text': '101dalmatianstreet', 'indices': [80, 99]}, {'text': '101dalmatianstreetfanart', 'indices': [100, 125]}, {'text': 'calledalmatas101', 'indices': [126, 143]}, {'text': 'disney', 'indices': [144, 151]}, {'text': 'disneyplus', 'indices': [152, 163]}, {'text': 'disneytva', 'indices': [164, 174]}]",95
1,723532208179404800,56702,"London, England",False,765,2383,10,6600,1628906869048713216,"#Extraordinary is an absolute must-see #TVShow which has a perfect tonal balance full of all different types of excellent moments #Podcasts #Reviews #Hulu #DisneyPlus

 https://t.co/o1mV8AwWIi",2023-02-23 23:57:15,en,0,"[{'text': 'Extraordinary', 'indices': [0, 14]}, {'text': 'TVShow', 'indices': [39, 46]}, {'text': 'Podcasts', 'indices': [130, 139]}, {'text': 'Reviews', 'indices': [140, 148]}, {'text': 'Hulu', 'indices': [149, 154]}, {'text': 'DisneyPlus', 'indices': [155, 166]}]",0
2,723532208179404800,56702,"London, England",False,765,2383,10,6600,1628906599266779136,"Why You Should Watch: #Atlanta #FX #DisneyPlus #TV

 https://t.co/JKscUZPYMI",2023-02-23 23:56:11,en,0,"[{'text': 'Atlanta', 'indices': [22, 30]}, {'text': 'FX', 'indices': [31, 34]}, {'text': 'DisneyPlus', 'indices': [35, 46]}, {'text': 'TV', 'indices': [47, 50]}]",0
3,1613354669161566208,701,,False,60,203,0,3428,1628906485752254464,#selfiesforwillow plus I wanted to show off my new sweater and phone case 🫶🏽 plz #RenewWillow and stop fucking around #DisneyPlus ⚔️🧙🏻‍♂️ https://t.co/ntswIsGCBi,2023-02-23 23:55:44,en,1,"[{'text': 'selfiesforwillow', 'indices': [0, 17]}, {'text': 'RenewWillow', 'indices': [81, 93]}, {'text': 'DisneyPlus', 'indices': [118, 129]}]",11
4,723532208179404800,56702,"London, England",False,765,2383,10,6600,1628906112803020800,"#TheWalkingDeadUK: #TheWalkingDead 1124 'Rest in Peace' #TV #AMC #DisneyPlus #TWD

 https://t.co/gQJtVWonAx",2023-02-23 23:54:15,en,0,"[{'text': 'TheWalkingDeadUK', 'indices': [0, 17]}, {'text': 'TheWalkingDead', 'indices': [19, 34]}, {'text': 'TV', 'indices': [56, 59]}, {'text': 'AMC', 'indices': [60, 64]}, {'text': 'DisneyPlus', 'indices': [65, 76]}, {'text': 'TWD', 'indices': [77, 81]}]",0
5,723532208179404800,56702,"London, England",False,765,2383,10,6600,1628905081390202880,"Ideas For #ToyStory's Future #TV #Films #Movies #Disney #DisneyPlus

 https://t.co/GfXpR3rqpm",2023-02-23 23:50:09,en,0,"[{'text': 'ToyStory', 'indices': [10, 19]}, {'text': 'TV', 'indices': [29, 32]}, {'text': 'Films', 'indices': [33, 39]}, {'text': 'Movies', 'indices': [40, 47]}, {'text': 'Disney', 'indices': [48, 55]}, {'text': 'DisneyPlus', 'indices': [56, 67]}]",0
6,1590931714024607745,9173,Internet,False,193,10,0,163,1628904843694727168,"🌟 Top Rated 🌟
        
🎞 Cool Runnings
👥 Leon - Doug E. Doug - Rawle D. Lewis
🗓️ 1993
💻 Disney Plus
🎥 Comedy - Adventure - Drama
⭐ 7.0
            
#DisneyPlus https://t.co/TCOc5p7Ebn",2023-02-23 23:49:12,en,0,"[{'text': 'DisneyPlus', 'indices': [148, 159]}]",0
7,723532208179404800,56702,"London, England",False,765,2383,10,6600,1628904160379666433,"MUST-SEE: #WelcomeToWrexham Season 1 #TV #DisneyPlus #Fx #Sports #Football #Wrexham

 https://t.co/xMj7IayMsB",2023-02-23 23:46:30,en,0,"[{'text': 'WelcomeToWrexham', 'indices': [10, 27]}, {'text': 'TV', 'indices': [37, 40]}, {'text': 'DisneyPlus', 'indices': [41, 52]}, {'text': 'Fx', 'indices': [53, 56]}, {'text': 'Sports', 'indices': [57, 64]}, {'text': 'Football', 'indices': [65, 74]}, {'text': 'Wrexham', 'indices': [75, 83]}]",0
8,40831879,10291,,False,1530,2677,51,9140,1628903848055013379,Looks like a full circle experience @U2 @Letterman #DisneyPlus https://t.co/OnvNnk3Vic,2023-02-23 23:45:15,en,0,"[{'text': 'DisneyPlus', 'indices': [51, 62]}]",0
9,1189249608687509506,52595,"New York, NY",False,460,627,4,93234,1628900147114438656,"@love_grogu Like Father, like Son 💚 #PedroPascal #TheMandalorian #ThisIsTheWay #Grogu #DisneyPlus https://t.co/sPVhOvJGdy",2023-02-23 23:30:33,en,0,"[{'text': 'PedroPascal', 'indices': [36, 48]}, {'text': 'TheMandalorian', 'indices': [49, 64]}, {'text': 'ThisIsTheWay', 'indices': [65, 78]}, {'text': 'Grogu', 'indices': [79, 85]}, {'text': 'DisneyPlus', 'indices': [86, 97]}]",7
10,1534870262679748609,4538,"Los Angeles, CA",False,24793,462,1,516,1628896233598205960,Amy Robach and T.J. Holmes Pack on the PDA: Couple Kisses In Mexico After ‘GMA3’ Exit - Yahoo Entertainment https://t.co/cWi3pcOMk5 https://t.co/ae4WQ4PYwA #Movies #Music #Celebrities #News #Culture #Fun #Netflix #Prime #HULU #Trailers #Streaming #Spotify #Podcasts #Disneyplus,2023-02-23 23:15:00,en,0,"[{'text': 'Movies', 'indices': [156, 163]}, {'text': 'Music', 'indices': [164, 170]}, {'text': 'Celebrities', 'indices': [171, 183]}, {'text': 'News', 'indices': [184, 189]}, {'text': 'Culture', 'indices': [190, 198]}, {'text': 'Fun', 'indices': [199, 203]}, {'text': 'Netflix', 'indices': [204, 212]}, {'text': 'Prime', 'indices': [213, 219]}, {'text': 'HULU', 'indices': [220, 225]}, {'text': 'Trailers', 'indices': [226, 235]}, {'text': 'Streaming', 'indices': [236, 246]}, {'text': 'Spotify', 'indices': [247, 255]}, {'text': 'Podcasts', 'indices': [256, 265]}, {'text': 'Disneyplus', 'indices': [266, 277]}]",0
11,1500228858221666306,630,Ireland,False,282,1215,1,177,1628893969282220033,Who wouldn't want to be a stay at home dad with this one #teething  #babycollins #dailbaby @violetannetd #Encanto #DisneyPlus #Dancer https://t.co/VJbGDWzZq0,2023-02-23 23:06:00,en,0,"[{'text': 'teething', 'indices': [57, 66]}, {'text': 'babycollins', 'indices': [68, 80]}, {'text': 'dailbaby', 'indices': [81, 90]}, {'text': 'Encanto', 'indices': [105, 113]}, {'text': 'DisneyPlus', 'indices': [114, 125]}, {'text': 'Dancer', 'indices': [126, 133]}]",2
12,4798567152,88214,,False,1869,1666,27,91269,1628893931147608066,"Janet, was definitely giving “Old Man Logan” universe vibes with her Quantum Realm backstory.

 #KangSuite 002: Kang &amp; Ant-Man: Quantumania | SPOILERS

#CBNpod // #AntManAndTheWasp  #DisneyPlus #Quantumania  #MCU

[ https://t.co/zyra4daDh3 ] https://t.co/AZV8AAAaSi",2023-02-23 23:05:51,en,1,"[{'text': 'KangSuite', 'indices': [96, 106]}, {'text': 'CBNpod', 'indices': [156, 163]}, {'text': 'AntManAndTheWasp', 'indices': [167, 184]}, {'text': 'DisneyPlus', 'indices': [186, 197]}, {'text': 'Quantumania', 'indices': [198, 210]}, {'text': 'MCU', 'indices': [212, 216]}]",2
13,1621493330033971200,145,,False,1413,49,0,145,1628892861428031490,"Ladybug &amp; Cat Noir Awakening releases in Ireland on August 3
#MiraculousAwakening #MiraculousLadybug #MiraculousLeFilm #miraculousmovie #miraculous #MLBS5Spoiler #MLBS5Leaks #MLBS5Spoilers #disney #DisneyPlus #film #MLBS5 #Movie #France  Source:https://t.co/p3bjCSaD5p https://t.co/nZTj1mObua",2023-02-23 23:01:36,en,4,"[{'text': 'MiraculousAwakening', 'indices': [65, 85]}, {'text': 'MiraculousLadybug', 'indices': [86, 104]}, {'text': 'MiraculousLeFilm', 'indices': [105, 122]}, {'text': 'miraculousmovie', 'indices': [123, 139]}, {'text': 'miraculous', 'indices': [140, 151]}, {'text': 'MLBS5Spoiler', 'indices': [152, 165]}, {'text': 'MLBS5Leaks', 'indices': [166, 177]}, {'text': 'MLBS5Spoilers', 'indices': [178, 192]}, {'text': 'disney', 'indices': [193, 200]}, {'text': 'DisneyPlus', 'indices': [201, 212]}, {'text': 'film', 'indices': [213, 218]}, {'text': 'MLBS5', 'indices': [219, 225]}, {'text': 'Movie', 'indices': [226, 232]}, {'text': 'France', 'indices': [233, 240]}]",11
14,1438886853814407168,830,,False,55,148,0,251,1628891540591464452,"#TheMandalorian | 🔥Love that Mandalorian camera shot! New footage of @themandalorian ! Just a few more days!! #StarWars

#StarWarsTheMandalorian #Mandalorian #Grogu #BabyYoda #StarWarsNews #StarWarsFacts #DisneyPlus #BoKatan https://t.co/wstqNfaVTb",2023-02-23 22:56:21,en,0,"[{'text': 'TheMandalorian', 'indices': [0, 15]}, {'text': 'StarWars', 'indices': [110, 119]}, {'text': 'StarWarsTheMandalorian', 'indices': [121, 144]}, {'text': 'Mandalorian', 'indices': [145, 157]}, {'text': 'Grogu', 'indices': [158, 164]}, {'text': 'BabyYoda', 'indices': [165, 174]}, {'text': 'StarWarsNews', 'indices': [175, 188]}, {'text': 'StarWarsFacts', 'indices': [189, 203]}, {'text': 'DisneyPlus', 'indices': [204, 215]}, {'text': 'BoKatan', 'indices': [216, 224]}]",1
15,1540348799801036800,482,,False,346,51,1,176,1628887735330131968,"Read everything carefully
#ChatGPT 
#Tesla 
#ElonMusk 
#DisneyPlus 
#DisneyWorld 
#movies 
#Netflix
#movie https://t.co/UgkcnmVurt",2023-02-23 22:41:14,en,1,"[{'text': 'ChatGPT', 'indices': [26, 34]}, {'text': 'Tesla', 'indices': [36, 42]}, {'text': 'ElonMusk', 'indices': [44, 53]}, {'text': 'DisneyPlus', 'indices': [55, 66]}, {'text': 'DisneyWorld', 'indices': [68, 80]}, {'text': 'movies', 'indices': [82, 89]}, {'text': 'Netflix', 'indices': [91, 99]}, {'text': 'movie', 'indices': [100, 106]}]",1
16,29119142,3323,LA/NYC,False,786,218,4,11899,1628887357540663299,We who worked with Jingyi Shao cheer on his writing and directing of #Changcandunk on #DisneyPlus! https://t.co/FCHVKtiZiA,2023-02-23 22:39:43,en,0,"[{'text': 'Changcandunk', 'indices': [69, 82]}, {'text': 'DisneyPlus', 'indices': [86, 97]}]",5
17,1502297804210905090,3378,"NYC, Shreveport",False,254,3117,0,23402,1628886813686259712,"Unfortunately, I won’t get to see #Quantumania until it hits #DisneyPlus, but everyone I know on here has liked it or loved it. 

Seems like the critics I have read have just rutted like pigs in shit about how bad it is and, we’ll, just been taking pleasure being mean.",2023-02-23 22:37:34,en,0,"[{'text': 'Quantumania', 'indices': [34, 46]}, {'text': 'DisneyPlus', 'indices': [61, 72]}]",3
18,1244374622688219137,14220,,False,520,443,2,39531,1628886257370554369,"It's a wrap ! 🎆 🎇🎉🎊
🥂🍾
Countdown for""El Turco""⏳️
#CanYaman 
#ElTurco 
#DisneyPlus https://t.co/PGfklyBEgz",2023-02-23 22:35:21,en,6,"[{'text': 'CanYaman', 'indices': [49, 58]}, {'text': 'ElTurco', 'indices': [60, 68]}, {'text': 'DisneyPlus', 'indices': [70, 81]}]",11
19,312894787,30906,Where am I?,False,1072,338,44,7554,1628884304515170304,"Who's He? Podcast @YouTube Channel....

Star Wars | The Bad Batch | Season 2 | Episode 10 | Retrieval - Review

#starwars #disneyplus #TheBadBatch 

https://t.co/BTL8h4R5h3",2023-02-23 22:27:36,en,1,"[{'text': 'starwars', 'indices': [112, 121]}, {'text': 'disneyplus', 'indices': [122, 133]}, {'text': 'TheBadBatch', 'indices': [134, 146]}]",0
20,230251032,13725,Tenerife (España),False,312,2652,11,34620,1628883175291092994,"Why does one bother you more than the other?
¡Leave the RACISM instilled!
#TheLittleMermaid #Maleficent
#DisneyPlus #Disney100 https://t.co/cDQ5pGw58d",2023-02-23 22:23:06,en,0,"[{'text': 'TheLittleMermaid', 'indices': [74, 91]}, {'text': 'Maleficent', 'indices': [92, 103]}, {'text': 'DisneyPlus', 'indices': [104, 115]}, {'text': 'Disney100', 'indices': [116, 126]}]",4
